types,counts,total_unique,probs
Payton,1758,18082,0.0009788565863740714
Shannon,1757,18082,0.0009782997851304001
Julianna,1748,18082,0.0009732885739373588
Kristen,1715,18082,0.0009549141328962072
Kyla,1705,18082,0.0009493461204594947
Peyton,1702,18082,0.0009476757167284809
Nevaeh,1698,18082,0.0009454485117537959
Maggie,1697,18082,0.0009448917105101246
Alejandra,1694,18082,0.0009432213067791109
Hayley,1670,18082,0.0009298580769310006
Kate,1668,18082,0.0009287444744436581
Hanna,1652,18082,0.000919835654544918
Kendall,1642,18082,0.0009142676421082054
Aubrey,1641,18082,0.0009137108408645341
Valeria,1636,18082,0.0009109268346461779
Makenzie,1624,18082,0.0009042452197221228
Reagan,1624,18082,0.0009042452197221228
Ellie,1619,18082,0.0009014612135037665
Rylee,1615,18082,0.0008992340085290815
Michaela,1614,18082,0.0008986772072854102
Aliyah,1606,18082,0.0008942227973360401
Charlotte,1602,18082,0.0008919955923613551
Esmeralda,1598,18082,0.00088976838738667
Carly,1590,18082,0.0008853139774373
Diamond,1579,18082,0.0008791891637569162
Ruby,1579,18082,0.0008791891637569162
Jazmin,1573,18082,0.0008758483562948886
Jayla,1570,18082,0.0008741779525638749
Rebekah,1570,18082,0.0008741779525638749
Sadie,1562,18082,0.0008697235426145047
Desiree,1550,18082,0.0008630419276904497
Brenda,1550,18082,0.0008630419276904497
Ariel,1548,18082,0.0008619283252031072
Nadia,1499,18082,0.0008346450642632156
Giselle,1478,18082,0.0008229522381461191
Julie,1469,18082,0.0008179410269530778
Kaitlin,1456,18082,0.0008107026107853515
Addison,1455,18082,0.0008101458095416802
Macy,1446,18082,0.0008051345983486389
Adrianna,1445,18082,0.0008045777971049676
Kara,1402,18082,0.0007806353436271036
Claudia,1396,18082,0.000777294536165076
Alana,1391,18082,0.0007745105299467197
Kyra,1388,18082,0.0007728401262157059
Kendra,1386,18082,0.0007717265237283634
Genesis,1372,18082,0.0007639313063169657
Jazmine,1364,18082,0.0007594768963675957
Nancy,1364,18082,0.0007594768963675957
Holly,1363,18082,0.0007589200951239244
Alison,1360,18082,0.0007572496913929107
Elena,1358,18082,0.0007561360889055682
Allyson,1348,18082,0.0007505680764688556
Britney,1345,18082,0.0007488976727378418
Savanna,1345,18082,0.0007488976727378418
Raven,1339,18082,0.0007455568652758143
Elise,1335,18082,0.0007433296603011292
Joanna,1334,18082,0.000742772859057458
Eva,1333,18082,0.0007422160578137867
Jaden,1324,18082,0.0007372048466207454
Makenna,1323,18082,0.0007366480453770742
Nina,1319,18082,0.0007344208404023891
Serena,1306,18082,0.0007271824242346627
Guadalupe,1296,18082,0.0007216144117979502
Fatima,1288,18082,0.0007171600018485801
Selena,1288,18082,0.0007171600018485801
Haylee,1281,18082,0.0007132623931428813
Vivian,1275,18082,0.0007099215856808538
Katelynn,1271,18082,0.0007076943807061688
Camryn,1269,18082,0.0007065807782188262
Cierra,1269,18082,0.0007065807782188262
Mallory,1259,18082,0.0007010127657821136
April,1252,18082,0.0006971151570764148
Lindsay,1241,18082,0.0006909903433960311
Mariana,1241,18082,0.0006909903433960311
Cameron,1236,18082,0.0006882063371776747
Cindy,1220,18082,0.0006792975172789346
Liliana,1211,18082,0.0006742863060858932
Lucy,1211,18082,0.0006742863060858932
Kathleen,1208,18082,0.0006726159023548795
Wendy,1208,18082,0.0006726159023548795
Nayeli,1206,18082,0.000671502299867537
Josephine,1198,18082,0.000667047889918167
Anastasia,1193,18082,0.0006642638836998106
Asia,1190,18082,0.0006625934799687969
Camille,1187,18082,0.0006609230762377831
Zoey,1182,18082,0.0006581390700194267
Cecilia,1171,18082,0.000652014256339043
Skyler,1162,18082,0.0006470030451460017
