types,counts,total_unique,probs
Randolph,1817,4256,0.0009347289620393039
Garry,1809,4256,0.0009306134795427081
Donnie,1805,4256,0.0009285557382944103
Mitchell,1758,4256,0.0009043772786269104
Lester,1724,4256,0.0008868864780163786
Franklin,1721,4256,0.0008853431720801552
Chris,1687,4256,0.0008678523714696234
Charlie,1664,4256,0.0008560203592919107
Manuel,1662,4256,0.0008549914886677617
Jimmie,1641,4256,0.0008441883471141979
Kent,1620,4256,0.0008333852055606341
Wesley,1594,4256,0.0008200098874466981
Harvey,1594,4256,0.0008200098874466981
Lynn,1590,4256,0.0008179521461984002
Bill,1587,4256,0.0008164088402621768
Milton,1576,4256,0.0008107500518293577
Karl,1564,4256,0.000804576828084464
Leo,1557,4256,0.0008009757808999428
Jim,1523,4256,0.000783484980289411
Johnnie,1520,4256,0.0007819416743531876
Herman,1497,4256,0.0007701096621754749
Rex,1497,4256,0.0007701096621754749
Reginald,1494,4256,0.0007685663562392515
Freddie,1491,4256,0.0007670230503030282
Kurt,1466,4256,0.0007541621675011665
Arnold,1463,4256,0.0007526188615649431
Chester,1454,4256,0.0007479889437562729
Tom,1439,4256,0.0007402724140751559
Ted,1413,4256,0.0007268970959612198
Dana,1379,4256,0.000709406295350688
Gerard,1338,4256,0.0006883144475556349
Cecil,1327,4256,0.0006826556591228158
Alexander,1283,4256,0.0006600205053915393
Roland,1275,4256,0.0006559050228949436
Carlos,1258,4256,0.0006471596225896776
Nathaniel,1258,4256,0.0006471596225896776
Stuart,1257,4256,0.0006466451872776032
Maurice,1220,4256,0.0006276110807308479
Fredrick,1210,4256,0.0006224667276101033
Daryl,1183,4256,0.0006085769741840928
Kerry,1168,4256,0.0006008604445029757
Terrence,1165,4256,0.0005993171385667524
Perry,1152,4256,0.0005926294795097843
Claude,1145,4256,0.0005890284323252631
Neal,1143,4256,0.0005879995617011141
Kirk,1122,4256,0.0005771964201475503
Darryl,1102,4256,0.0005669077139060611
Ruben,1095,4256,0.0005633066667215398
Marshall,1089,4256,0.000560220054849093
Oscar,1088,4256,0.0005597056195370186
Robin,1084,4256,0.0005576478782887206
Brent,1082,4256,0.0005566190076645717
Antonio,1077,4256,0.0005540468311041993
Jessie,1035,4256,0.0005324405479970718
Sidney,1020,4256,0.0005247240183159548
Hugh,979,4256,0.0005036321705209017
Wallace,979,4256,0.0005036321705209017
Mario,972,4256,0.0005000311233363805
Brad,965,4256,0.0004964300761518592
Todd,960,4256,0.0004938578995914869
Clifton,942,4256,0.00048459806397414655
Sam,941,4256,0.00048408362866207206
Aaron,939,4256,0.00048305475803792314
Tyrone,929,4256,0.00047791040491717846
Ross,908,4256,0.0004671072633636147
Morris,905,4256,0.00046556395742739133
Terrance,903,4256,0.0004645350868032424
Byron,902,4256,0.0004640206514911679
Benny,897,4256,0.0004614484749307956
Lyle,897,4256,0.0004614484749307956
Edgar,889,4256,0.0004573329924341999
Clinton,880,4256,0.00045270307462552965
Wendell,879,4256,0.0004521886393134552
Ricardo,864,4256,0.0004444721096323382
Clayton,860,4256,0.00044241436838404036
Nathan,851,4256,0.0004377844505753702
Bryan,849,4256,0.00043675557995122126
Laurence,844,4256,0.0004341834033908489
Nelson,830,4256,0.0004269813090218064
Earnest,814,4256,0.00041875034402861496
Jesus,809,4256,0.00041617816746824263
Kelly,806,4256,0.0004146348615320192
Willard,799,4256,0.00041103381434749796
Virgil,786,4256,0.00040434615529052993
Marion,784,4256,0.000403317284666381
Sammy,782,4256,0.000402288414042232
Rudolph,777,4256,0.00039971623748185975
Luis,774,4256,0.00039817293154563633
Greg,770,4256,0.0003961151902973385
Dave,768,4256,0.0003950863196731895
Max,762,4256,0.00039199970780074274
Elmer,761,4256,0.00039148527248866825
Ira,760,4256,0.0003909708371765938
Bob,756,4256,0.00038891309592829597
Bennie,750,4256,0.00038582648405584914
Everett,750,4256,0.00038582648405584914
Otis,748,4256,0.0003847976134317002
Luther,741,4256,0.00038119656624717896
Rickie,734,4256,0.0003775955190626577
Gregg,733,4256,0.00037708108375058327
Randal,729,4256,0.00037502334250228537
Ben,721,4256,0.0003709078600056897
Raul,714,4256,0.0003673068128211684
Lance,708,4256,0.0003642202009487216
Alex,698,4256,0.000359075847827977
Tim,697,4256,0.0003585614125159025
Carlton,696,4256,0.000358046977203828
Roberto,691,4256,0.0003554748006434557
